Date,Product,Product Family,Platform,Article,Download,Severity,Impact,Details
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041681,Monthly Rollup,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041678,Security Only,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2012 R2,Windows,,4041693,Monthly Rollup,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2012 R2,Windows,,4041687,Security Only,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 10 for 32-bit Systems,Windows,,4042895,Security Update,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows RT 8.1,Windows,,4041693,Monthly Rollup,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2016,Windows,,4041691,Security Update,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 10 Version 1703 for x64-based Systems,Windows,,4041676,Security Update,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Windows 10 Version 1703 for 32-bit Systems,Windows,,4041676,Security Update,Important,Information Disclosure,CVE-2017-11772
10/10/2017,Microsoft Outlook 2016 (64-bit edition),Microsoft Office,,4011162,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft Outlook 2016 (32-bit edition),Microsoft Office,,4011162,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft Outlook 2010 Service Pack 2 (64-bit editions),Microsoft Office,,4011196,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft Outlook 2013 RT Service Pack 1,Microsoft Office,,4011178,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft Outlook 2010 Service Pack 2 (32-bit editions),Microsoft Office,,4011196,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft Outlook 2013 Service Pack 1 (32-bit editions),Microsoft Office,,4011178,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft Outlook 2013 Service Pack 1 (64-bit editions),Microsoft Office,,4011178,Security Update,Important,Security Feature Bypass,CVE-2017-11774
10/10/2017,Microsoft SharePoint Enterprise Server 2016,Microsoft Office,,4011217,Security Update,Important,Elevation of Privilege,CVE-2017-11775
10/10/2017,Microsoft SharePoint Enterprise Server 2013 Service Pack 1,Microsoft Office,,4011170,Security Update,Important,Elevation of Privilege,CVE-2017-11775
10/10/2017,Microsoft Outlook 2016 (64-bit edition),Microsoft Office,,4011162,Security Update,Important,Information Disclosure,CVE-2017-11776
10/10/2017,Microsoft Outlook 2016 (32-bit edition),Microsoft Office,,4011162,Security Update,Important,Information Disclosure,CVE-2017-11776
10/10/2017,Microsoft SharePoint Enterprise Server 2016,Microsoft Office,,4011217,Security Update,Important,Elevation of Privilege,CVE-2017-11777
10/10/2017,Microsoft SharePoint Enterprise Server 2013 Service Pack 1,Microsoft Office,,4011170,Security Update,Important,Elevation of Privilege,CVE-2017-11777
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041693,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041687,Security Only,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 Version 1511 for 32-bit Systems,Windows,,4041689,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041693,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041687,Security Only,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041693,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041687,Security Only,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012,Windows,,4041690,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012,Windows,,4041679,Security Only,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 Version 1511 for x64-based Systems,Windows,,4041689,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 Version 1607 for x64-based Systems,Windows,,4041691,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 Version 1607 for 32-bit Systems,Windows,,4041691,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 for x64-based Systems,Windows,,4042895,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041690,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041679,Security Only,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012 R2,Windows,,4041693,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2012 R2,Windows,,4041687,Security Only,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 for 32-bit Systems,Windows,,4042895,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows RT 8.1,Windows,,4041693,Monthly Rollup,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2016,Windows,,4041691,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 Version 1703 for x64-based Systems,Windows,,4041676,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows 10 Version 1703 for 32-bit Systems,Windows,,4041676,Security Update,Critical,Remote Code Execution,CVE-2017-11779
10/10/2017,Windows Server 2008 for 32-bit Systems Service Pack 2,Windows,,4041995,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041693,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041687,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 Version 1511 for 32-bit Systems,Windows,,4041689,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 for x64-based Systems Service Pack 2,Windows,,4041995,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 for Itanium-Based Systems Service Pack 2,Windows,,4041995,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041693,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041687,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041693,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041687,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012,Windows,,4041690,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012,Windows,,4041679,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Windows,,4041995,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Windows,,4041995,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 Version 1511 for x64-based Systems,Windows,,4041689,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 Version 1607 for x64-based Systems,Windows,,4041691,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 Version 1607 for 32-bit Systems,Windows,,4041691,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 for x64-based Systems,Windows,,4042895,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041690,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041679,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041678,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041681,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041678,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012 R2,Windows,,4041693,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2012 R2,Windows,,4041687,Security Only,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 for 32-bit Systems,Windows,,4042895,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows RT 8.1,Windows,,4041693,Monthly Rollup,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2016,Windows,,4041691,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 Version 1703 for x64-based Systems,Windows,,4041676,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows 10 Version 1703 for 32-bit Systems,Windows,,4041676,Security Update,Important,Remote Code Execution,CVE-2017-11780
10/10/2017,Windows Server 2008 for 32-bit Systems Service Pack 2,Windows,,4041995,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041693,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041687,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1511 for 32-bit Systems,Windows,,4041689,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 for x64-based Systems Service Pack 2,Windows,,4041995,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 for Itanium-Based Systems Service Pack 2,Windows,,4041995,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041693,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041687,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041693,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041687,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012,Windows,,4041690,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012,Windows,,4041679,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Windows,,4041995,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Windows,,4041995,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1511 for x64-based Systems,Windows,,4041689,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1607 for x64-based Systems,Windows,,4041691,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1607 for 32-bit Systems,Windows,,4041691,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 7 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 for x64-based Systems,Windows,,4042895,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041690,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012 (Server Core installation),Windows,,4041679,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 7 for 32-bit Systems Service Pack 1,Windows,,4041678,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041681,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Windows,,4041678,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012 R2,Windows,,4041693,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2012 R2,Windows,,4041687,Security Only,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 for 32-bit Systems,Windows,,4042895,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows RT 8.1,Windows,,4041693,Monthly Rollup,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2016,Windows,,4041691,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1703 for x64-based Systems,Windows,,4041676,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1703 for 32-bit Systems,Windows,,4041676,Security Update,Important,Denial of Service,CVE-2017-11781
10/10/2017,Windows 10 Version 1607 for x64-based Systems,Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11782
10/10/2017,Windows 10 Version 1607 for 32-bit Systems,Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11782
10/10/2017,Windows Server 2016,Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11782
10/10/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11782
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041693,Monthly Rollup,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041687,Security Only,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 Version 1511 for 32-bit Systems,Windows,,4041689,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041693,Monthly Rollup,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041687,Security Only,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041693,Monthly Rollup,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041687,Security Only,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 Version 1511 for x64-based Systems,Windows,,4041689,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 Version 1607 for x64-based Systems,Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 Version 1607 for 32-bit Systems,Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 for x64-based Systems,Windows,,4042895,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows Server 2012 R2,Windows,,4041693,Monthly Rollup,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows Server 2012 R2,Windows,,4041687,Security Only,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 for 32-bit Systems,Windows,,4042895,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows RT 8.1,Windows,,4041693,Monthly Rollup,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows Server 2016,Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows Server 2016  (Server Core installation),Windows,,4041691,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 Version 1703 for x64-based Systems,Windows,,4041676,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows 10 Version 1703 for 32-bit Systems,Windows,,4041676,Security Update,Important,Elevation of Privilege,CVE-2017-11783
10/10/2017,Windows Server 2008 for 32-bit Systems Service Pack 2,Windows,,4041671,Security Update,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Windows,,4041678,Security Only,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041693,Monthly Rollup,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2012 R2 (Server Core installation),Windows,,4041687,Security Only,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2008 for x64-based Systems Service Pack 2,Windows,,4041671,Security Update,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2008 for Itanium-Based Systems Service Pack 2,Windows,,4041671,Security Update,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041693,Monthly Rollup,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows 8.1 for 32-bit systems,Windows,,4041687,Security Only,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041693,Monthly Rollup,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows 8.1 for x64-based systems,Windows,,4041687,Security Only,Important,Information Disclosure,CVE-2017-11784
10/10/2017,Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,Windows,,4041681,Monthly Rollup,Important,Information Disclosure,CVE-2017-11784
